order_id,customer_id,product_id,order_date,quantity,unit_price,discount,revenue
1,283,87,2024-03-01,1,2175.83,0.15,1849.46
1,283,22,2024-03-01,1,7167.91,0.0,7167.91
2,87,19,2024-02-11,3,3171.34,0.0,9514.02
2,87,75,2024-02-11,2,44807.59,0.0,89615.18
3,33,87,2024-08-27,2,2175.83,0.05,4134.08
3,33,13,2024-08-27,2,9237.08,0.0,18474.16
4,277,12,2024-03-23,1,2459.4,0.05,2336.43
4,277,73,2024-03-23,2,18192.18,0.0,36384.36
5,45,38,2024-04-25,1,5067.49,0.15,4307.37
5,45,84,2024-04-25,2,4875.5,0.0,9751.0
6,305,74,2024-11-12,2,18924.35,0.0,37848.7
6,305,61,2024-11-12,1,205.61,0.0,205.61
7,163,81,2024-11-07,1,631.53,0.15,536.8
7,163,17,2024-11-07,1,6664.68,0.05,6331.45
8,322,16,2024-09-25,2,15771.29,0.15,26811.19
8,322,38,2024-09-25,1,5067.49,0.1,4560.74
9,83,17,2024-03-23,2,6664.68,0.0,13329.36
9,83,73,2024-03-23,2,18192.18,0.0,36384.36
10,242,48,2024-11-27,1,6527.42,0.0,6527.42
10,242,2,2024-11-27,2,826.86,0.1,1488.35
11,388,13,2025-09-12,2,9237.08,0.0,18474.16
11,388,7,2025-09-12,1,8976.08,0.0,8976.08
12,381,17,2024-09-08,1,6664.68,0.0,6664.68
12,381,82,2024-09-08,1,1221.96,0.0,1221.96
13,196,17,2025-01-08,2,6664.68,0.0,13329.36
13,196,12,2025-01-08,1,2459.4,0.1,2213.46
13,196,6,2025-01-08,1,9075.76,0.0,9075.76
14,143,36,2024-11-28,1,3009.89,0.1,2708.9
14,143,76,2024-11-28,2,7357.75,0.1,13243.95
15,32,77,2024-07-26,1,5779.62,0.0,5779.62
15,32,30,2024-07-26,2,2686.64,0.0,5373.28
16,65,25,2025-09-07,1,3640.01,0.05,3458.01
16,65,32,2025-09-07,2,632.49,0.0,1264.98
17,352,37,2024-01-18,2,4824.48,0.0,9648.96
17,352,75,2024-01-18,2,44807.59,0.0,89615.18
18,170,2,2025-07-30,2,826.86,0.0,1653.72
18,170,63,2025-07-30,1,955.49,0.15,812.17
19,282,74,2024-10-31,1,18924.35,0.05,17978.13
19,282,92,2024-10-31,1,2248.85,0.0,2248.85
20,320,75,2024-02-29,4,44807.59,0.0,179230.36
20,320,91,2024-02-29,1,11426.26,0.05,10854.95
21,38,19,2024-12-02,1,3171.34,0.0,3171.34
21,38,9,2024-12-02,1,24309.59,0.0,24309.59
22,80,94,2025-03-02,1,5672.67,0.05,5389.04
22,80,77,2025-03-02,1,5779.62,0.1,5201.66
23,105,13,2025-10-31,1,9237.08,0.05,8775.23
23,105,74,2025-10-31,1,18924.35,0.0,18924.35
24,278,68,2025-11-29,1,5460.65,0.0,5460.65
24,278,21,2025-11-29,2,4472.7,0.1,8050.86
25,320,85,2024-09-04,1,460.42,0.15,391.36
25,320,80,2024-09-04,3,298.04,0.0,894.12
26,100,71,2025-05-11,1,7406.14,0.0,7406.14
26,100,20,2025-05-11,1,39805.25,0.15,33834.46
27,71,89,2024-01-28,4,3390.34,0.0,13561.36
27,71,16,2024-01-28,1,15771.29,0.05,14982.73
28,219,9,2024-07-30,1,24309.59,0.05,23094.11
28,219,40,2024-07-30,2,2396.49,0.0,4792.98
29,140,41,2024-12-19,1,4280.17,0.0,4280.17
29,140,53,2024-12-19,4,651.44,0.0,2605.76
30,218,45,2024-04-12,1,6157.34,0.1,5541.61
30,218,74,2024-04-12,1,18924.35,0.0,18924.35
31,178,19,2025-07-01,1,3171.34,0.1,2854.21
31,178,1,2025-07-01,2,57994.93,0.05,110190.37
32,358,70,2025-10-30,2,7231.23,0.1,13016.21
32,358,1,2025-10-30,1,57994.93,0.1,52195.44
33,65,92,2025-12-29,2,2248.85,0.0,4497.7
33,65,17,2025-12-29,1,6664.68,0.1,5998.21
34,151,53,2024-02-04,1,651.44,0.0,651.44
34,151,15,2024-02-04,2,3589.44,0.15,6102.05
35,269,60,2025-04-30,2,381.06,0.0,762.12
35,269,91,2025-04-30,1,11426.26,0.0,11426.26
36,74,45,2024-02-25,3,6157.34,0.05,17548.42
36,74,73,2024-02-25,1,18192.18,0.05,17282.57
37,361,29,2025-12-22,1,1442.48,0.0,1442.48
37,361,48,2025-12-22,1,6527.42,0.0,6527.42
38,277,51,2024-12-09,1,5418.07,0.0,5418.07
38,277,38,2024-12-09,1,5067.49,0.05,4814.12
39,3,80,2025-08-28,1,298.04,0.0,298.04
39,3,5,2025-08-28,3,60993.48,0.05,173831.42
40,292,69,2025-10-16,1,9360.74,0.05,8892.7
40,292,10,2025-10-16,3,5376.54,0.05,15323.14
41,232,70,2025-12-06,2,7231.23,0.0,14462.46
